sumcolno,charge,maxcolno,casno,MaxAtNo,heavies,Species,omit,sumatno,ssqcolno,Name,atoms
10,0,7,13768600,9,2,BF,0,14,58,Boron monofluoride,2
10,1,7,13768600,9,2,BF+,0,14,58,Boron monofluoride cation,2
24,0,6,13768860,34,4,SeO3,0,58,144,selenium trioxide,4
14,0,7,13770224,17,2,DOCl,0,26,86,Hypochlorous acid-d,3
7,-1,5,13770406,7,1,NH2-,0,9,27,amino anion,3
7,0,5,13770406,7,1,NH2,0,9,27,Amino radical,3
7,1,5,13770406,7,1,NH2+,0,9,27,Amino cation,3
22,0,8,13773814,36,3,KrF2,0,54,147,Krypton difluoride,3
14,0,5,13774817,7,2,BH3NH3,0,18,42,borane ammonia,8
6,-1,5,13774920,7,1,NH-,0,8,26,Imidogen anion,2
6,0,5,13774920,7,1,NH,0,8,26,Imidogen,2
6,1,5,13774920,7,1,NH+,0,8,26,imidogen cation,2
5,-1,4,13774942,14,1,SiH-,0,15,17,silicon monohydride anion,2
5,0,4,13774942,14,1,SiH,0,15,17,Silylidyne,2
5,1,4,13774942,14,1,SiH+,0,15,17,silicon monohydride cation,2
24,0,7,13776620,9,4,N2F2,0,32,148,"Dinitrogen difluoride, (E)-",4
7,0,6,13780239,16,1,DS,0,17,37,Mercapto-d,2
48,0,7,13780579,17,7,SF5Cl,0,178,330,sulfur chloropentafluoride,7
24,0,7,13812436,9,4,N2F2,0,32,148,(Z)-Difluorodiazene,4
20,-1,7,13814250,16,3,SF2-,0,34,134,sulfur difluoride anion,3
20,0,7,13814250,16,3,SF2,0,34,134,sulfur difluoride,3
20,1,7,13814250,16,3,SF2+,0,34,134,sulfur difluoride cation,3
9,-1,7,13814501,17,2,BeCl-,0,21,65,beryllium monochloride anion,2
9,0,7,13814501,17,2,BeCl,0,21,53,beryllium chloride,2
9,1,7,13814501,17,2,BeCl+,0,21,65,beryllium monochloride cation,2
24,0,7,13814658,17,4,AlF2Cl,0,48,156,Aluminum chloride difluoride,4
12,0,5,13817066,15,2,HPO,0,24,62,HPO,3
12,1,5,13817066,15,2,HPO+,0,24,62,HPO cation,3
6,-1,4,13825906,14,1,SiH2-,0,16,18,silicon dihydride anion,3
6,0,4,13825906,14,1,SiH2,0,16,18,silicon dihydride,3
6,1,4,13825906,14,1,SiH2+,0,16,18,silicon dihydride cation,3
9,0,7,13827264,20,2,CaF,0,29,53,Calcuium monofluoride,2
12,-1,6,13827322,16,2,SO-,0,24,72,sulfur monoxide anion,2
12,0,6,13827322,16,2,SO,0,24,72,Sulfur monoxide,2
12,1,6,13827322,16,2,SO+,0,24,72,sulfur monoxide cation,2
14,0,6,13840409,15,2,H3PO,0,26,64,Phosphine oxide,5
15,-1,6,13840885,8,3,BO2-,0,21,81,Boron dioxide anion,3
15,0,6,13840885,8,3,BO2,0,21,81,Boron dioxide,3
15,1,6,13840885,8,3,BO2+,0,21,81,Boron dioxide cation,3
48,0,7,13845120,17,8,Al2Cl6,0,128,312,"Aluminum, di-?-chlorotetrachlorodi-",8
20,0,6,13845233,16,3,HSSSH,0,50,110,trisulfane,5
32,0,7,13847659,9,5,F3NO,0,42,208,Nitrogen trifluoride oxide,5
14,-1,7,13863417,35,2,BrCl-,0,52,98,bromine chloride anion,2
14,0,7,13863417,35,2,BrCl,0,52,49,Bromine monochloride,2
14,1,7,13863417,35,2,BrCl+,0,52,98,bromine chloride cation,2
14,-1,7,13863597,35,2,BrF-,0,44,98,bromine fluoride anion,2
14,0,7,13863597,35,2,BrF,0,44,98,Bromine monofluoride,2
14,1,7,13863597,35,2,BrF+,0,44,98,bromine fluoride cation,2
14,0,7,13873842,53,2,IF,0,62,98,Iodine monofluoride,2
20,0,7,13898470,17,3,HOClO,0,34,122,Chlorous acid,4
7,-1,6,13940211,16,1,SH-,0,17,37,mercapto anion,2
7,0,6,13940211,16,1,SH,0,17,37,Mercapto radical,2
7,1,6,13940211,16,1,SH+,0,17,37,sulfur monohydride cation,2
7,-1,6,13940222,34,1,HSe-,0,35,37,selenium monohydride anion,2
7,0,6,13940222,34,1,HSe,0,35,37,Selenium monohydride,2
7,1,6,13940222,34,1,HSe+,0,35,37,selenium monohydride cation,2
18,0,7,13940631,32,3,GeF2,0,50,114,Germanium difluoride,3
32,0,5,13952846,7,5,CH3C(NH2)HCH2CH3,0,42,100,2-Butanamine,16
34,0,7,13965736,9,6,B2F4,0,46,214,Diboron tetrafluoride,6
11,-1,7,13966579,17,2,SiCl-,0,31,65,silicon monochloride anion,2
11,0,7,13966579,17,2,SiCl,0,31,65,Clorosilylidyne,2
11,1,7,13966579,17,2,SiCl+,0,31,65,silicon monochloride cation,2
10,0,7,13966784,31,2,GaF,0,40,58,Gallium monofluoride,2
12,-1,7,13967061,9,2,NF-,0,16,74,nitrogen monofluorine anion,2
12,0,7,13967061,9,2,NF,0,16,74,nitrogen fluoride,2
12,1,7,13967061,9,2,NF+,0,16,74,nitrogen monofluoirde cation,2
6,-1,5,13967141,15,1,PH-,0,16,26,phosphorus monohydride anion,2
6,0,5,13967141,15,1,PH,0,16,26,phosphorus monohydride,2
6,1,5,13967141,15,1,PH+,0,16,26,phosphorus monohydride cation,2
4,-1,3,13967221,13,1,AlH-,0,14,10,aluminum monohydride anion,2
4,0,3,13967221,13,1,AlH,0,14,10,aluminum monohydride,2
4,1,3,13967221,13,1,AlH+,0,14,10,aluminum monohydride cation,2
12,0,7,13967298,35,2,NBr,0,42,74,nitrogen monobromide,2
9,1,6,13968086,8,1,H3O+,0,11,39,hydronium,4
3,0,2,13981878,30,1,ZnH,0,31,5,Zinc monohydride,2
2,0,1,13983205,1,0,HD,0,2,2,Deuterium hydride,2
4,0,2,14018827,30,1,ZnH2,0,32,6,Zinc hydride,3
14,0,7,14034798,9,2,HOF,0,18,86,Hypofluorous acid,3
29,-3,6,14265442,15,5,PO4-3,0,47,149,phosphate,5
12,-1,6,14332286,8,2,HNO-,0,16,62,Nitrosyl hydride anion,3
12,0,6,14332286,8,2,HNO,0,16,62,Nitrosyl hydride,3
12,1,6,14332286,8,2,HNO+,0,16,62,Nitrosyl hydride cation,3
3,-1,2,14332537,12,1,MgH-,0,13,5,magnesium monohydride anion,2
3,0,2,14332537,12,1,MgH,0,13,5,magnesium monohydride,2
3,1,2,14332537,12,1,MgH+,0,13,5,magnesium monohydride cation,2
8,0,7,14333267,9,1,DF,0,10,50,Hydrofluoric acid-d,2
27,0,4,14362084,6,5,C5H7,0,37,87,"1,3-pentadienyl radical",12
7,-1,7,14362448,53,1,I-,0,53,49,Iodine atom anion,1
7,0,7,14362448,53,1,I,0,53,49,Iodine atom,1
7,1,7,14362448,53,1,I+,0,53,49,Iodine atom cation,1
2,-1,1,14452596,3,2,Li2-,0,6,2,lithium dimer anion,2
2,0,1,14452596,3,2,Li2,0,6,2,Lithium diatomic,2
2,1,1,14452596,3,2,Li2+,0,6,2,lithium diatomic cation,2
4,-1,2,14452609,4,2,Be2-,0,8,8,Beryllium dimer anion,2
4,0,2,14452609,4,2,Be2,0,8,8,Beryllium diatomic,2
4,1,2,14452609,4,2,Be2+,0,8,8,Beryllium diatomic cation,2
6,-1,3,14452610,5,2,B2-,0,10,18,Boron diatomic anion,2
6,0,3,14452610,5,2,B2,0,10,18,Boron diatomic,2
6,1,3,14452610,5,2,B2+,0,10,18,Boron diatomic cation,2
5,-1,3,14452643,5,1,BH2-,0,7,11,boron dihydride anion,3
5,0,3,14452643,5,1,BH2,0,7,11,boron dihydride,3
5,1,3,14452643,5,1,BH2+,0,7,11,Boron dihydride cation,3
11,-1,6,14452665,15,2,PO-,0,23,61,phosphorus monoxide anion,2
11,0,6,14452665,15,2,PO,0,23,61,Phosphorus monoxide,2
11,1,6,14452665,15,2,PO+,0,23,61,phosphorus monoxide cation,2
3,0,2,14452756,20,1,CaH,0,21,5,Calcium monohydride,2
3,1,2,14452756,20,1,CaH+,0,21,5,Calcium monohydride cation,2
9,-1,6,14457648,13,2,AlO-,0,21,45,Aluminum monoxide anion,2
9,0,6,14457648,13,2,AlO,0,21,45,Aluminum monoxide,2
9,1,6,14457648,13,2,AlO+,0,21,45,aluminum monoxide cation,2
5,-1,3,14457659,13,1,AlH2-,0,15,11,aluminum dihydride anion,3
5,0,3,14457659,13,1,AlH2,0,15,11,aluminum dihydride,3
5,1,3,14457659,13,1,AlH2+,0,15,11,aluminum dihydride cation,3
10,0,6,14457853,16,2,HBS,0,22,46,hydrogen boron sulfide,3
13,0,6,14541243,16,2,HS2,0,33,73,Thiosulfeno radical,3
30,0,7,14545723,17,5,ClONO2,0,48,182,Chlorine nitrate,5
34,0,4,14596920,6,6,C6H10,0,46,106,"1,3-Hexadiene, (Z)-",16
7,0,5,14644452,33,1,AsH2,0,35,27,Arsenic dihydride,3
7,1,5,14644452,33,1,AsH2+,0,35,27,Arsenic dihydride cation,3
20,0,6,14699991,8,3,H2O3,0,26,110,Hydrogen trioxide,5
7,-1,7,14762948,9,1,F-,0,9,49,Fluorine atom anion,1
7,0,7,14762948,9,1,F,0,9,49,Fluorine atom,1
7,1,7,14762948,9,1,F+,0,9,49,Fluorine atom cation,1
31,-1,7,14797730,17,5,ClO4-,0,49,193,perchlorate anion,5
9,1,5,14798039,7,1,NH4+,0,11,29,ammonium cation,5
30,-2,6,14808798,16,5,SO4-2,0,48,180,sulfate,5
44,0,4,14867835,6,9,C9H8,0,62,152,"sprio[4.4]nona-1,3,6,8-tetraene",17
31,-1,7,14874705,9,5,BF4-,0,41,205,tetrafluoroboron anion,5
11,0,7,14929465,32,2,GeF,0,41,65,Germanium monofluoride,2
8,0,6,14940637,8,1,HDO,0,10,38,Water-d1,3
9,-1,7,14953287,12,2,MgF-,0,21,53,magnesium fluoride anion,2
9,0,7,14953287,12,2,MgF,0,21,53,Magnesium monofluoride,2
9,1,7,14953287,12,2,MgF+,0,21,53,magnesium fluoride cation,2
9,-1,7,14989298,17,2,MgCl-,0,29,53,magnesium monochloride anion,2
9,0,7,14989298,17,2,MgCl,0,29,53,magnesium monochloride,2
9,1,7,14989298,17,2,MgCl+,0,29,53,magnesium monochloride cation,2
13,-1,7,14989301,17,2,ClO-,0,25,85,chlorine monoxide anion,2
13,0,7,14989301,17,2,ClO,0,25,85,Monochlorine monoxide,2
13,1,7,14989301,17,2,ClO+,0,25,85,chlorine monoxide cation,2
13,-1,7,14989323,17,2,SCl-,0,33,85,sulfur monochloride anion,2
13,0,7,14989323,17,2,SCl,0,33,85,sulfur monochloride,2
13,1,7,14989323,17,2,SCl+,0,33,85,sulfur monochloride cation,2
31,-1,6,14996022,16,5,HSO4-,0,49,181,bisulfate anion,6
7,0,5,15117847,7,1,ND2,0,9,27,Amidogen-d2,3
12,0,7,15120135,33,2,AsF,0,42,74,Arsenic monofluoride,2
19,0,7,15499237,9,3,FO2,0,25,121,Dioxygen monofluoride,3
9,0,7,15606710,20,2,CaCl,0,37,53,calcium monochloride,2
12,0,5,15626434,7,2,N2H2,0,16,52,trans-diazine,4
13,-1,7,15656196,35,2,BrO-,0,43,85,Bromine monoxide anion,2
13,0,7,15656196,35,2,BrO,0,43,85,Bromine monoxide,2
36,0,4,15679013,6,6,C6H12,0,48,108,"cis-1,2-dimethylcyclobutane",18
36,0,4,15679024,6,6,C6H12,0,48,108,"trans-1,2-dimethylcyclobutane",18
28,0,6,15798648,8,5,C4H6O,0,38,106,cis-2-butenal,11
14,0,7,15861059,9,2,NH2F,0,18,76,monofluoroamine,4
32,0,6,15892236,8,5,C4H10O,0,42,110,"2-Butanol, (.+/-.)-",15
26,0,6,15932895,8,4,HOCH2OOH,0,34,128,hydroxy methyl peroxide,8
15,-1,6,15941772,16,3,SCN-,0,31,77,thiocyanide anion,3
15,0,6,15941772,16,3,SCN,0,31,77,thiocyanato radical,3
12,-1,7,16027922,15,2,PF-,0,24,74,phosphorus monofluoride anion,2
12,0,7,16027922,15,2,PF,0,24,74,phosphorus monofluoride,2
12,1,7,16027922,15,2,PF+,0,24,74,phosphorus monofluoride cation,2
13,-1,7,16068965,16,2,SF-,0,25,85,sulfur monofluoride anion,2
13,0,7,16068965,16,2,SF,0,25,85,Monosulfur monofluoride,2
13,1,7,16068965,16,2,SF+,0,25,85,sulfur monofluoride cation,2
24,0,7,16136848,17,4,C3H5Cl,0,40,162,1-chloro-1-propene(Z),9
24,0,7,16136859,17,4,C3H5Cl,0,40,162,1-chloro-1-propene(E),9
13,0,7,16519974,35,2,CH2Br,0,43,57,bromomethyl radical,4
19,0,6,16520040,8,3,CH3OCH2,0,25,73,methoxymethyl radical,8
23,0,4,16520211,6,4,CH3CHCHCH2,0,31,71,methylallyl radical,11
32,0,5,16529661,7,6,C5H7N,0,44,112,(E)-3-Pentenenitrile,13
28,0,4,16668670,6,6,C6H4,0,40,100,"(Z)-Hexa-1,5-diyne-3-ene",10
28,0,4,16668681,6,6,C6H4,0,40,100,"(E)-Hexa-1,5-diyne-3-ene",10
10,-1,6,16674183,34,2,CSe-,0,40,52,Carbon monoselenide anion,2
10,0,6,16674183,34,2,CSe,0,40,52,Carbon monoselenide,2
10,1,6,16674183,34,2,CSe+,0,40,52,Carbon monoselenide cation,2
32,0,5,16681779,7,6,C2H4N4,0,44,136,"1H-Tetrazole, 1-methyl-",10
32,0,5,16681780,7,6,C2H4N4,0,44,136,"2H-Tetrazole, 2-methyl-",10
26,0,7,16860994,16,4,S2F2,0,50,170,Thio-thionyl fluoride,4
1,-1,1,16873179,1,0,D-,0,1,1,Deuterium atom anion,1
1,0,1,16873179,1,0,D,0,1,1,Deuterium atom,1
1,1,1,16873179,1,0,D+,0,1,1,Deuterium atom cation,1
8,0,3,16949158,5,2,LiBH4,0,12,14,Lithium borohydride,6
30,0,5,16955354,7,6,C5H5N,0,42,110,Bicyclo[1.1.0]butane-1-carbonitrile,11
7,-1,3,16971292,5,1,BH4-,0,9,13,borohydride anion,5
15,1,5,17000009,7,2,CH3NH3+,0,19,47,protonated methylamine,8
10,0,7,17108859,31,2,GaCl,0,48,58,Gallium monochloride,2
12,0,7,17141285,35,2,CHBr,0,42,166,bromomethylene,3
12,-1,7,17167554,17,2,PCl-,0,32,74,phosphorus monochloride anion,2
12,0,7,17167554,17,2,PCl,0,32,74,phosphorus chloride,2
12,1,7,17167554,17,2,PCl+,0,32,74,phosphorus monochloride cation,2
19,0,7,17376099,17,3,ClOO,0,33,121,chloroperoxy radical,3
19,1,7,17376099,17,3,ClOO+,0,33,121,chloroperoxy cation,3
10,-1,5,17739478,15,2,PN-,0,22,50,phosphorus nitride anion,2
10,0,5,17739478,15,2,PN,0,22,50,Phosphorus mononitride,2
10,1,5,17739478,15,2,PN+,0,22,50,phosphorus nitride cation,2
6,-1,6,17778802,8,1,O-,0,8,36,Oxygen atom anion,1
6,0,6,17778802,8,1,O,0,8,36,Oxygen atom,1
6,1,6,17778802,8,1,O+,0,8,36,Oxygen atom cation,1
5,-1,5,17778880,7,1,N-,0,7,25,Nitrogen atom anion,1
5,0,5,17778880,7,1,N,0,7,25,Nitrogen atom,1
5,1,5,17778880,7,1,N+,0,7,25,Nitrogen atom cation,1
10,0,3,18099451,5,2,B2H4,0,14,22,Diborane(4) D2d,6
15,-1,7,18130740,9,2,FHF-,0,19,99,FHF-,3
15,0,7,18130740,9,2,FHF,0,19,99,FHF,3
9,1,6,18155210,16,1,H3S+,0,19,39,H3S+,4
21,-1,7,18434338,17,3,Cl3-,0,51,147,trichloride anion,3
36,0,4,18931710,6,6,C4H6(CH3)2,0,48,108,dimethylcyclobutane,18
34,0,5,18936179,7,6,C5H9N,0,46,114,"Butanenitrile, 2-methyl-",15
25,0,7,19165345,17,4,SiCl3,0,65,163,trichlorosilyl radical,4
25,1,7,19165345,17,4,SiCl3+,0,65,163,trichlorosilyl cation,4
12,0,5,19287457,5,2,B2H6,0,16,24,Diborane,8
7,-1,3,19469819,13,1,AlH4-,0,17,13,Aluminum tetrahydride anion,5
12,0,6,19710566,8,2,HOCH,0,16,54,hydroxycarbene,4
10,0,7,19961296,35,2,BBr,0,40,58,Boron monobromide,2
34,0,4,20237347,6,6,C6H10,0,46,106,"1,3-Hexadiene, (E)-",16
10,-1,7,20583555,17,2,BCl-,0,22,58,boron monochloride anion,2
10,0,7,20583555,17,2,BCl,0,22,58,boron monochloride,2
10,1,7,20583555,17,2,BCl+,0,22,58,boron monochloride cation,2
10,0,6,20611590,8,2,HBO,0,14,46,Boron hydride oxide,3
10,0,6,20619163,32,2,GeO,0,40,52,Germanium monoxide,2
18,0,5,20729413,7,3,CH3CHNH,0,24,62,ethanimine,8
9,0,6,20768687,8,2,BeOH,0,13,41,beryllium hydroxide,3
18,0,6,20901217,16,3,SSO,0,40,108,Disulfur monoxide,3
19,0,7,21255834,35,3,OBrO,0,51,121,OBrO,3
20,0,7,21308805,35,3,BrOBr,0,78,162,Bromine oxide,3
15,-1,6,22400266,8,3,NCO-,0,21,77,cyanate,3
15,0,6,22400266,8,3,NCO,0,21,77,isocyanato radical,3
7,-1,7,22537151,17,1,Cl-,0,17,49,Chlorine atom anion,1
7,0,7,22537151,17,1,Cl,0,17,49,Chlorine atom,1
7,1,7,22537151,17,1,Cl+,0,17,49,Chlorine atom cation,1
25,-1,5,23303095,7,5,C4H4N-,0,35,93,pyrrolide anion,9
25,0,5,23303095,7,5,C4H4N,0,35,93,pyrrolide radical,9
12,-1,6,23550450,16,2,S2-,0,32,72,sulfur dimer anion,2
12,0,6,23550450,16,2,S2,0,32,72,Sulfur diatomic,2
12,1,6,23550450,16,2,S2+,0,32,72,sulfur dimer cation,2
25,-1,7,23594889,17,4,ClO3-,0,41,157,chlorate anion,4
10,0,5,23878468,33,2,As2,0,66,50,Arsenic diatomic,2
8,-1,5,24304005,13,2,AlN-,0,20,34,aluminum mononitride anion,2
8,0,5,24304005,13,2,AlN,0,20,36,Aluminum nitride,2
8,1,5,24304005,13,2,AlN+,0,20,34,aluminum mononitride cation,2
40,0,5,24331097,7,9,C(CN)4,0,58,180,tetracyanomethane,9
36,0,6,24599573,8,7,C6H6O,0,50,138,"2,4-Cyclohexadienone",13
6,-1,4,24968556,32,1,GeH2-,0,34,18,germylene anion,3
6,0,4,24968556,32,1,GeH2,0,34,18,germylene,3
25,1,5,25215105,7,4,CH6N3+,0,33,92,guanidinium,10
8,0,5,25617974,31,2,GaN,0,38,34,Gallium mononitride,2
16,0,6,25655838,8,2,H2OH2O,0,20,76,water dimer,6
2,-1,1,25681792,11,2,Na2-,0,22,2,sodium dimer anion,2
2,0,1,25681792,11,2,Na2,0,22,2,Sodium diatomic,2
2,1,1,25681792,11,2,Na2+,0,22,2,sodium dimer cation,2
2,0,1,25681805,19,2,K2,0,38,2,Potassium dimer,2
21,-1,7,25730998,9,3,F3-,0,27,147,trifluoride anion,3
14,0,6,25756870,15,2,H2POH,0,26,64,Phosphinous acid,5
32,0,5,25899507,7,6,C5H7N,0,44,112,(Z)-2-Pentenenitrile,13
32,0,5,26294984,7,6,C5H7N,0,44,112,(E)-2-Pentenenitrile,13
30,0,6,26404660,8,5,HOONO2,0,40,170,peroxy nitric acid,6
10,0,5,26754983,33,2,AsN,0,40,50,Arsenic mononitride,2
3,1,1,28132481,1,0,H3+,0,3,3,hydrogen trimer cation,3
17,0,5,28445332,7,3,CH3CHN,0,23,61,methylmethaniminyl radical,7
30,0,4,29776963,6,6,C6H6,0,42,102,"1,2,4,5-Hexatetraene",12
4,-1,2,29904798,12,2,Mg2-,0,24,8,magnesium dimer anion,2
4,0,2,29904798,12,2,Mg2,0,24,8,Magnesium diatomic,2
4,1,2,29904798,12,2,Mg2+,0,24,8,magnesium dimer cation,2
16,0,7,30664121,9,2,H2F2,0,20,100,Hydrogen fluoride dimer,4
32,0,4,30830207,6,6,C6H8,0,44,104,Bicyclo[2.2.0]hex-1(4)-ene,14
32,0,6,30842901,8,6,C4H5NO,0,44,130,3-Methylisoxazole,11
27,0,7,30937383,16,4,SF3,0,45,183,Sulfur trifluoride,4
16,0,6,32038792,8,3,HCCOH,0,22,70,ethynol,5
6,0,5,32746319,7,2,LiN,0,10,26,Lithium Nitride,2
6,1,5,32746319,7,2,LiN+,0,10,26,Lithium Nitride cation,2
6,-1,3,32752946,13,2,Al2-,0,26,18,aluminum dimer anion,2
6,0,3,32752946,13,2,Al2,0,26,18,Aluminum diatomic,2
6,1,3,32752946,13,2,Al2+,0,26,18,aluminum dimer cation,2
11,-1,6,36058283,16,2,HCS-,0,23,53,Thioformyl anion,3
11,0,6,36058283,16,2,HCS,0,23,53,Thioformyl radical,3
11,1,6,36058283,16,2,HCS+,0,23,53,Thioformyl cation,3
29,0,6,36709101,8,5,CH3C(O)OO,0,39,143,acetyl peroxy radical,8
11,0,5,36882130,7,2,NNH,0,15,51,Dinitrogen monohydride,3
11,1,5,36882130,7,2,NNH+,0,15,51,Dinitrogen monohydride cation,3
25,-1,5,36954037,7,5,C3H3N2-,0,35,101,imidizolyl anion,8
25,0,5,36954037,7,5,C3H3N2,0,35,101,imidazolyl radical,8
7,-1,5,37279111,7,2,BeN-,0,11,29,Beryllium mononitride anion,2
7,0,5,37279111,7,2,BeN,0,11,29,Beryllium mononitride,2
7,1,5,37279111,7,2,BeN+,0,11,29,Beryllium mononitride cation,2
36,0,6,37765154,8,6,C2H6N2O2,0,48,160,(E)-Azodioxymethane,12
14,0,6,38544488,8,2,NH3O,0,18,64,Ammonia Oxide,5
19,0,7,39594917,17,3,ClS2,0,49,121,Sulfur chloride,3
30,0,7,40423141,35,5,BrONO2,0,66,182,Bromine nitrate,5
9,0,5,40493810,7,2,HNB,0,13,35,hydrogen nitrogen boron,3
9,0,4,42217981,30,2,ZnCH3,0,39,23,Zinc monomethyl,5
9,1,7,42348414,17,1,H2Cl+,0,19,51,dihydrogen monochloride cation,3
12,0,4,51067846,14,2,CH2SiH2,0,24,36,silaethylene,6
15,0,6,51095159,8,3,HCCO,0,21,69,ketenyl radical,4
11,0,5,54980119,7,2,HCNH,0,15,43,HCNH,4
11,1,5,54980119,7,2,HCNH+,0,15,43,HCNH+,4
16,0,6,56400023,16,3,NNS,0,30,86,Nitrogen sulfide,3
44,0,7,57070334,9,8,C4F4,0,60,260,tetrafluorcyclobutadiene,8
5,0,4,57788939,6,2,LiC,0,9,17,Lithium Carbide,2
22,0,6,57932566,8,4,ONNO,0,30,122,NO dimer,4
32,0,4,59660649,6,6,C6H8,0,44,104,"cis-2,3,4-Hexatriene",14
32,0,4,59660650,6,6,C6H8,0,44,104,"trans-2,3,4-Hexatriene",14
12,0,5,61183537,15,2,CH2PH,0,24,44,H2CPH,5
24,0,6,61233190,8,4,C2H4O2,0,32,108,"1,3-dioxetane",8
34,0,6,62957602,8,6,C4H7NO,0,46,132,Ethoxyacetonitrile,13
36,0,6,72762006,8,7,C5H5NO,0,50,146,2(1H)-Pyridinone,12
15,-1,6,82267150,8,3,CNO-,0,21,77,fulminate,3
24,0,7,96607022,35,4,BrONO,0,58,146,Bromine nitrite,4
25,0,6,104267223,16,4,HSO3,0,41,145,HOSO2,5
16,0,6,114584268,15,3,PPO,0,38,86,PPO,3
8,0,4,115410770,30,2,ZnCH2,0,38,22,Zinc methylene,4
32,0,7,120434277,14,5,SiH3CCl3,0,74,283,(trichloromethyl)silane,8
28,0,6,122413358,8,5,ONONO,0,38,158,Nitrosyl nitrite,5
14,0,5,253308702,7,3,CN2,0,20,66,3H-Diazirin-3-ylidene,3
